correction_id,affected_day,severity,status,logged
corr-2026-07-16-private-person-phrases,2026-07-09,major,resolved,2026-07-16
corr-2026-07-16-private-person-phrases,2026-07-14,major,resolved,2026-07-16
corr-2026-07-18-connective-clusters,2026-06-30,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-11,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-13,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-14,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-15,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-16,major,resolved,2026-07-18
corr-2026-07-18-connective-clusters,2026-07-17,major,resolved,2026-07-18
corr-2026-07-20-missing-published-days,2026-07-12,major,resolved,2026-07-20
corr-2026-07-20-missing-published-days,2026-07-18,major,resolved,2026-07-20
corr-2026-07-21-private-person-window,2026-07-20,major,resolved,2026-07-21
corr-2026-07-23-composite-claim-binding,2026-07-15,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-16,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-17,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-18,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-19,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-20,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-21,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-22,major,resolved,2026-07-23
corr-2026-07-23-composite-claim-binding,2026-07-23,major,resolved,2026-07-23
corr-2026-07-28-fingerprint-method-attestation,2026-07-25,major,resolved,2026-07-28
corr-2026-08-09-cosigned-release-double-count,2026-07-09,major,resolved,2026-08-09
