day,party,phrase,observed_offices,surface_class
2026-06-30,D,an american citizen,15,
2026-06-30,D,birthright citizenship is,15,
2026-06-30,D,born in the united states,36,
2026-06-30,D,children born in,14,
2026-06-30,D,children born in the united states,12,
2026-06-30,D,for more than 150 years,10,
2026-06-30,D,in trump v,16,
2026-06-30,D,more than 150 years,12,
2026-06-30,D,of birthright citizenship,10,
2026-06-30,D,statement after the supreme,20,
2026-06-30,D,statement after the supreme court,18,
2026-06-30,D,supreme court upheld,11,
2026-06-30,D,supreme court’s decision,11,
2026-06-30,D,the 14th amendment,20,
2026-06-30,D,the fourteenth amendment,15,
2026-06-30,D,the supreme court upheld,9,
2026-06-30,D,the supreme court’s,16,
2026-06-30,D,the united states and,15,
2026-06-30,D,the united states is,11,
2026-06-30,D,today the supreme court,17,
2026-07-09,D,administration’s attempt to,3,
2026-07-09,D,airport to rehabilitate,3,
2026-07-09,D,and across america,3,
2026-07-09,D,federal funding for,4,
2026-07-09,D,federal investment in,3,
2026-07-09,D,fought to ensure,3,
2026-07-09,D,learned of his death through,3,
2026-07-09,D,million in federal,4,
2026-07-09,D,misuse of taxpayer,3,
2026-07-09,D,president trump and,4,
2026-07-09,D,the public good,3,
2026-07-09,D,the supreme court,4,
2026-07-09,D,the trump administration has,4,
2026-07-09,D,transparency and accountability,4,
2026-07-09,D,trump and republicans,4,
2026-07-09,D,war in iran,7,
2026-07-09,R,members of congress and,3,
2026-07-09,R,to make sure,4,
2026-07-09,R,work to ensure,3,
2026-07-11,D,21st century road to housing act,9,
2026-07-11,D,century road to housing act is,4,
2026-07-11,D,home investment partnerships,5,
2026-07-11,D,home investment partnerships program,4,
2026-07-11,D,housing and urban,6,
2026-07-11,D,in affordable housing,4,
2026-07-11,D,is now law,4,
2026-07-11,D,legislation became law,4,
2026-07-11,D,lower housing costs,4,
2026-07-11,D,of housing and urban development,5,
2026-07-11,D,of housing and urban development hud,4,
2026-07-11,D,officially became law,3,
2026-07-11,D,road to housing act,11,
2026-07-11,D,road to housing act became law,3,
2026-07-11,D,rural housing service,4,
2026-07-11,D,the 21st century road to housing,9,
2026-07-11,D,the housing supply,6,
2026-07-11,D,without the president’s signature,4,
2026-07-11,R,dream of homeownership,4,
2026-07-11,R,the american dream,5,
2026-07-12,D,across the aisle,3,
2026-07-12,D,lindsey graham i,3,
2026-07-12,D,lindsey graham r-s c,3,
2026-07-12,D,of south carolina,6,
2026-07-12,D,statement on the passing of,4,
2026-07-12,D,the people of south carolina,4,
2026-07-12,D,the sudden passing of,3,
2026-07-12,R,lindsey graham r-sc,4,
2026-07-12,R,loved ones during this difficult time,3,
2026-07-12,R,passing of u s,5,
2026-07-12,R,south carolina and,4,
2026-07-12,R,the passing of u s,3,
2026-07-12,R,the people of south carolina and,3,
2026-07-12,R,will be deeply missed,3,
2026-07-13,D,21st century road to housing,13,
2026-07-13,D,21st century road to housing act,12,
2026-07-13,D,an important step,6,
2026-07-13,D,bipartisan 21st century road to housing,6,
2026-07-13,D,century road to housing act is,4,
2026-07-13,D,century road to housing act which,5,
2026-07-13,D,federal financial assistance,5,
2026-07-13,D,house and senate,5,
2026-07-13,D,in federal funding,5,
2026-07-13,D,million in federal funding,4,
2026-07-13,D,of management and budget omb,4,
2026-07-13,D,regulation for federal financial assistance,4,
2026-07-13,D,the 21st century road to housing,10,
2026-07-13,D,the bipartisan 21st century road to,6,
2026-07-13,D,the housing crisis,5,
2026-07-13,D,the proposed rule,5,
2026-07-13,D,trump administration officials,5,
2026-07-13,R,air force reserve,4,
2026-07-13,R,president trump and,5,
2026-07-13,R,the save america act,4,
2026-07-14,D,a member of the house,7,
2026-07-14,D,and ranking member,8,
2026-07-14,D,army corps of engineers,9,
2026-07-14,D,billions of dollars,10,
2026-07-14,D,customs enforcement ice,8,
2026-07-14,D,house transportation and infrastructure committee,9,
2026-07-14,D,immigration and customs enforcement ice,7,
2026-07-14,D,in federal funding,7,
2026-07-14,D,million in federal,9,
2026-07-14,D,of homeland security dhs,9,
2026-07-14,D,of management and budget,8,
2026-07-14,D,the house transportation and infrastructure committee,7,
2026-07-14,D,the water resources development act,13,
2026-07-14,D,the water resources development act wrda,7,
2026-07-14,D,transportation and infrastructure,13,
2026-07-14,D,water resources development act,14,
2026-07-14,D,water resources development act wrda,8,
2026-07-14,R,of south carolina,7,
2026-07-15,D,3 3 billion,17,
2026-07-15,D,3 billion in,13,
2026-07-15,D,a two-state solution,16,
2026-07-15,D,aid to israel,11,
2026-07-15,D,american people and,12,
2026-07-15,D,foreign military financing,11,
2026-07-15,D,israeli and palestinian,11,
2026-07-15,D,israelis and palestinians,18,
2026-07-15,D,national security department,32,
2026-07-15,D,of health and human services,10,
2026-07-15,D,prime minister netanyahu,11,
2026-07-15,D,right to exist,16,
2026-07-15,D,state and related programs appropriations act,27,
2026-07-15,D,the massie amendment,17,
2026-07-15,D,the middle east,21,
2026-07-15,D,the netanyahu government,19,
2026-07-15,D,the palestinian people,11,
2026-07-15,D,the status quo,12,
2026-07-15,D,the west bank,25,
2026-07-15,D,to the national security,12,
2026-07-16,D,act legislation to,9,
2026-07-16,D,acting director of,7,
2026-07-16,D,ahead of president trump’s,6,
2026-07-16,D,an independent investigation,6,
2026-07-16,D,eleanor holmes norton,7,
2026-07-16,D,homeland security dhs,8,
2026-07-16,D,immigration and customs enforcement ice,9,
2026-07-16,D,legislation to protect,7,
2026-07-16,D,of president trump’s,10,
2026-07-16,D,president donald trump’s,6,
2026-07-16,D,president trump and,9,
2026-07-16,D,president trump has,8,
2026-07-16,D,related programs appropriations,6,
2026-07-16,D,right to vote,6,
2026-07-16,D,the american public,6,
2026-07-16,D,the house floor,7,
2026-07-16,D,trump’s second term,6,
2026-07-16,D,war in iran,8,
2026-07-16,R,health and human services hhs,6,
2026-07-16,R,of health and human services,7,
2026-07-17,D,access to care,5,
2026-07-17,D,an independent investigation,5,
2026-07-17,D,army corps of engineers,5,
2026-07-17,D,eleanor holmes norton,7,
2026-07-17,D,elizabeth warren d-mass,6,
2026-07-17,D,homeland security dhs,7,
2026-07-17,D,hundreds of thousands,6,
2026-07-17,D,immigration and customs enforcement ice,9,
2026-07-17,D,i’m proud to join,7,
2026-07-17,D,legislation will help,5,
2026-07-17,D,president donald trump’s,7,
